"","x"
"1","CD27"
"2","NAA10"
"3","C6orf1"
"4","SERPINA3"
"5","GULP1"
"6","KIAA0494"
"7","EXTL3"
"8","RFXANK"
"9","FADS3"
"10","C6orf27"
"11","FAP"
"12","MRPL40"
"13","TULP1"
"14","SPDYA"
"15","WLS"
"16","FEZ2"
"17","ILF2"
"18","SNRPB2"
"19","ZNF136"
"20","PSMA5"
"21","TINAG"
"22","SETD3"
"23","MIIP"
"24","THAP10"
"25","DOK1"
"26","ACVR2A"
"27","LPPR4"
"28","BTBD8"
"29","ZBTB17"
"30","SNX2"
"31","SH3BP1"
"32","SMPD4"
"33","FAM53A"
"34","ZNF568"
"35","ANO4"
"36","SPANXN3"
"37","TGFBR2"
"38","WWC2"
"39","ZNF83"
"40","BCL7C"
"41","CDADC1"
"42","UBL3"
"43","APPBP2"
"44","PEX1"
"45","C7orf30"
"46","TRIB3"
"47","ATP5J2"
"48","TUBA8"
"49","MRC2"
"50","WNT10A"
"51","ROMO1"
"52","UTP6"
"53","CCR6"
"54","CRLF3"
"55","LOC100272146"
"56","FAM108B1"
"57","SMARCD1"
"58","C7orf61"
"59","KIF16B"
"60","PITX1"
"61","LGALS9C"
"62","ERCC6L"
"63","SC5DL"
"64","TMEM38A"
"65","PCDH1"
"66","FTCD"
"67","FASTKD2"
"68","IFNB1"
"69","CCL11"
"70","TFG"
"71","UHRF1"
"72","DCTN3"
"73","GCKR"
"74","ZNF354C"
"75","PTPRCAP"
"76","ANKLE2"
"77","CCNI"
"78","MFHAS1"
"79","GAPDH"
"80","TMEM27"
"81","CROT"
"82","SUV39H1"
"83","MYCN"
"84","TSPYL1"
"85","PCDHAC2"
"86","CDKN2A"
"87","GUCY2D"
"88","LOC647121"
"89","BAHD1"
"90","EML5"
"91","ZNF578"
"92","YIPF1"
"93","RPL29"
"94","TBCB"
"95","ZNF433"
"96","TRMT2B"
"97","INPP5F"
"98","REG3G"
"99","RPL36"
"100","TREML3"
"101","SRL"
"102","TMEM165"
"103","SEMA7A"
"104","PDZD8"
"105","LMO7"
"106","THSD4"
"107","SLC7A5"
"108","YLPM1"
"109","ANKRD13B"
"110","RGS19"
"111","WDR67"
"112","IL21"
"113","PDCD1"
"114","WDR31"
"115","SMAD4"
"116","SPTY2D1"
"117","PI3"
"118","FBXW2"
"119","MSI2"
"120","FANCI"
"121","COX6C"
"122","SEC61A2"
"123","SCARF1"
"124","C1QTNF6"
"125","IVNS1ABP"
"126","DNMT3B"
"127","CTSA"
"128","EVC"
"129","RGS1"
"130","C1orf31"
"131","COX17"
"132","SLC11A1"
